schools,degrees,name,full_name,born,died,spouses,parents,sibling,offspring,second_cousin,cousin,occupation,employer,positions
Simmons College,,Beatrice Corliss,,1910-10-21,"January 12, 1995",William Kirkland Corliss,,,3,,,Accountant,,"Member of the Massachusetts House of Representatives from the 2nd Essex district,Mayor of Gloucester, Massachusetts"
,,Beatrice Burns,Beatrice Majors Van Vleet,1906-02-20,"February 28, 1988",John A. Burns,,,4,,,,,First Lady of Hawaii
"John Howard Grammar School for Girls,London School of Economics",,The Baroness Serota,,15 October 1919,21 October 2002,,,,,,,,,"Baroness-in-WaitingGovernment Whip,Member of the House of LordsLord Temporal"
,,Beatrice Wishart,Beatrice Wishart,1955-01-01,,,,,,,,,,Member of the Scottish Parliamentfor Shetland
University of Basel,,Beatrice Weder di Mauro,,1965-08-03,,,,,,,,,,
,,Beatrix Karl,,,,,,,,,,,,"Member of the National Council,Federal Minister for Science and Research,Justice Minister of Austria"
"University of Texas at Austin,Baylor Law School",,Eldon Beau Boulter,Eldon Beau Boulter,1942-02-23,,Rosemary R. Boulter,,,3,,,"Attorney,Lobbyist",,Member of the U.S. House of Representativesfrom Texas's 13th district
,,Beauford Halbert Jester,,1893-01-12,"July 11, 1949",Mabel Buchanan,,,3,,,,,"36th Governor of Texas,Member of the Texas Railroad Commission,Military service"
,,Beauford Halbert Jester,,1893-01-12,"July 11, 1949",Mabel Buchanan,,,3,,,,,"36th Governor of Texas,Member of the Texas Railroad Commission,Military service"
University of North Carolina at Greensboro,,,,1974-09-05,,,,,,,,,,"Personal information,Career,Number of wins by tour,Best results in LPGA major championships"
Chatham College,,Becky Corbin,,1952-11-18,,Michael,,,Alicia and John,,,Legislator,,Member of the Pennsylvania House of Representativesfrom the 155th district
"Asbury College,University of Minnesota",,Becky Lourey,,1943-09-24,,Gene (deceased 2008),,,12,,,"activist,homemaker,legislator",,"Member of the Minnesota Senatefrom the 8th district,Member of the Minnesota House of Representativesfrom the 14B and 8B district"
,,Becky Nutt,,,,Rick Nutt,,,,,,,,Member of the Arizona House of Representativesfrom the 14th district
Indiana Wesleyan University,,Becky Skillman,,1950-09-26,,Steve Skillman,,,,,,,,"49th Lieutenant Governor of Indiana,Member of the Indiana Senatefrom the 44th district"
Cornell University,,Becky Morgan,Rebecca Quinn,1938-12-04,,James C. Morgan,,,Jeff and Mary,,,philanthropist,,Member of the California Senatefrom the 11th district
,,Bedrettin Tuncel,,1910,"March 19, 1980",,,,,,,"Academic, politician",,Minister of National Education
Georgia State University,MPA,Bee Nguyen,,1981-07-18,,,,,,,,,,Member of the Georgia House of Representativesfrom the 89th district
,,Bedford Brown,,1795-06-06,"December 6, 1870",,,,,,,,,"United States Senatorfrom North Carolina,Member of the North Carolina Senate,Member of the North Carolina House of Commons"
,,Becky Weber,,1954-09-24,,,,,,,,,,Member of the Wisconsin State Assemblyfrom the 5th district
,,Beekman Winthrop,,1874-09-18,"November 10, 1940",Melza Riggs Wood,,,,,,,,"Assistant Secretary of the Navy,Assistant Secretary of the Treasury,Governor of Puerto Rico"
,,Serajunnesa Choudhury,,27 November 1910,1974,,,,"Humayun Rashid Choudhury,Faruk Rashid Chowdhury",,,,,Member of 3th National Assembly
,,Begum Kulsum Saifullah Khan,,7 December 1924,26 January 2015,,,,,,,"politician,businesswoman",,
,,,,,,,,,,,,,,
,,Bekir Sami Kunduh,,1867,16 January 1933,,,,,,,,,"Deputy of the Turkish Grand National Assembly,Minister of Foreign Affairs"
Ludwig Maximilian University of Munich,,Bela Bach,,1990-09-30,,,,,,,,,,Member of the Bundestag from Bavaria
,,Bela W. Jenks,,1849-07-18,1930 (aged 80-81),Alma Stafford,,,,,,,,Member of the Michigan Senatefrom the 20th district
,,Belaid Abdessalam,,1928-07-20,27 June 2020,,,,,,,,,Prime Minister of Algeria
"University of Bradford,BSc,Queen Mary University of London,MA,BPP Law School,GDL",,Bell Ribeiro-Addy,Bellavia Janet Ribeiro-Addy,1985-03-01,,,,,,,,,,"Shadow Minister of State for Immigration,Member of Parliamentfor Streatham"
University of Metz,,Belkhir Belhaddad,,1969-07-09,,,,,,,,,,Member of the National Assemblyfor Moselle's 1st constituency
Bowdoin College,,Bellamy Storer,,1796-03-26,"June 1, 1875",,,,Bellamy Storer (1847%E2%80%931922),,,,,Member of the U.S. House of Representativesfrom Ohio's 1st district
"Faculty of Mechanics and Mathematics,Moscow State University",,Bella Abramovna Subbotovskaya,Белла Абрамовна Субботовская,1937-12-17,"November 23, 1982",Ilya Muchnik,,,,,,,,
,,Belinda de Lucy,,1976-10-15,,Raymond McKeeve,,,4,,,Politician,,Member of the European Parliamentfor South East England
Bowdoin College,,Bellamy Storer,,1796-03-26,"June 1, 1875",,,,Bellamy Storer (1847%E2%80%931922),,,,,Member of the U.S. House of Representativesfrom Ohio's 1st district
Marietta College,,Beman Gates Dawes,,1870-01-14,"May 15, 1953",Bertie Burr,Rufus Dawes,,,,,,,Member of the U.S. House of Representativesfrom Ohio's 15th district
Ahmadu Bello University,,Bello Suleiman,,1952-06-16,,,,,,,,,,Minister of Power and Steel
Florida Southern College,,Ben Albritton,,1968-08-17,,Missy Schrader,,,"Rebecca, Joshua, Ryan",,,,,"Member of the Florida Senatefrom the 26th district,Member of the Florida House of Representatives"
,,Belle Goshorn MacCorkle,,1841,"September 12, 1923",,,,,,,,,
University of Texas at Austin,,Ben Barnes,Benny Frank Barnes,1938-04-17,,(1) Divorced from the former Martha Morgan,,,From first marriage:,,,,,"36th Lieutenant Governor of Texas,Speaker of the Texas House of Representatives,Member of the Texas House of Representativesfrom the 64th district,Member of the Texas House of Representatives from District 73"
"Leiden University,Bachelor of Laws,Master of Laws,Doctor of Philosophy,Harvard University,Juris Doctor,Master of Laws","Doctor of Philosophy,Master of Laws",Ben Bot,Bernard Rudolf Bot,1937-11-21,,,Theo Bot,,3 children,,,"Politician,Diplomat,Civil servant,Nonprofit director,Lobbyist,[1]",,"Minister of Foreign Affairs,Permanent Representative of the  Netherlands to the European Union,Ambassador of the Netherlands  to Turkey,Deputy Permanent Representative  of the Netherlands to NATO,Ambassador of the Netherlands  to East Germany"
Arizona State University,,Ben Arredondo,,1948/1949 (age 73–74),,Ruthann,,,,,,,,Member of the Arizona House of Representativesfrom the 17th district
"Harvard University,Massachusetts Institute of Technology","PhD,AM,AB",Ben Bernanke,Ben Shalom Bernanke,1953-12-13,,Anna Friedmann,,,2,,,,,"14th Chair of the Federal Reserve,Member of the Federal Reserve Board of Governors,23rd Chair of the Council of Economic Advisers"
University of Sussex,,Ben Bradshaw,Benjamin Peter James Bradshaw,1960-08-30,,,,,,,,,,"Shadow Secretary of State for Culture, Media and Sport,Secretary of State for Culture, Media and Sport,Minister of State for Health,Minister for the South West,Minister of State for Local Environment, Marine and Animal Welfare[1],Deputy Leader of the House of Commons,Parliamentary Under-Secretary of State for Foreign and Commonwealth Affairs,Member of Parliamentfor Exeter"
Nottingham Trent University,,Ben Bradley,,1989-12-11,,Shanade Bradley,,,2,,,,,"Leader of Nottinghamshire County Council,Vice Chairman of the Conservative Party for Youth,Member of Parliamentfor Mansfield,Member of Nottinghamshire County Councilfor Mansfield North.mw-parser-output .nobold{font-weight:normal}Hucknall North (2017-2021)"
"University of Oxford,Washington University in St. Louis",Washington University in St. Louis,Ben Cannon,,1976,,Liz Cannon,,,,,,,,Member of the Oregon House of Representativesfrom the 46th district
La Trobe University,,Ben Carroll,Benjamin Alan Carroll,1975-07-12,,,,,,,,Politician,,"Minister for Roads and Road Safety,Minister for Public Transport,Minister for Corrections, Youth Justice and Crime Prevention,Minister for Victim Support,Minister for Industry and Employment,Member of the Victorian Legislative Assemblyfor Niddrie"
"Carleton College,Stanford Law School,Oxford University","BA,MA,LLB",Ben C. Duniway,Benjamin Cushing Duniway,1907-11-21,"August 23, 1986",,,,,,,,,"Senior Judge of the United States Court of Appeals for the Ninth Circuit,Judge of the United States Court of Appeals for the Ninth Circuit"
,,Ben C. Eastman,,1812-10-24,"February 2, 1856",Charlotte Sophia Sewall,,,,,,,,"Member of the U.S. House of Representativesfrom Wisconsin's 2nd district,Member of the Grant CountyBoard of Supervisors"
"University of Texas at Austin,University of Texas School of Law,Harvard Law School","B.A.,LL.M.,LL.B.",Ben Clarkson Connally,Ben Clarkson Connally,1909-12-28,"December 2, 1975",,,,,,,,,"Senior Judge of the United States District Court for the Southern District of Texas,Chief Judge of the United States District Court for the Southern District of Texas,Judge of the United States District Court for the Southern District of Texas"
,,Ben Chapman,,1940-07-08,,Maureen Ann Kelly Byrne,,,,,,,,Member of Parliament  for Wirral South
University of Manchester,,Ben Elton,Benjamin Charles Elton,1959-05-03,,Sophie Gare,,,3,,,"Comedian,writer,actor,author,director",,
Western New Mexico University,,Ben Altamirano,Ben D. Altamirano,1930-10-17,"December 27, 2007",,,,,,,,,"Member of the New Mexico Senatefrom the 28th district,Military service"
"Howard University,Ohio State University,Sandusky High School",,Ben Espy,,,,Kathy Duffy,,,Beth,,,,,Member of the Ohio Senatefrom the 15th district
,,Ben Everitt,Benjamin William Everitt,1979-11-22,,Emma Skinner,,,3,,,Politician,,Member of Parliament  for Milton Keynes North
,,Ben F. Overton,,1926-12-15,"December 29, 2012",,,,,,,,,Chief Justice for the Florida Supreme Court
,,Ben E. Cabell,Benjamin Elias Cabell,1858-11-18,"February 8, 1931",Sadie E. Pearre,William Lewis Cabell,,"Charles P. Cabell,Earle Cabell",,,Sheriff,,27th Mayor of Dallas
"Trinity College, Cambridge,BA,MMath,PhD",,Ben Green,Ben Joseph Green,1977-02-27,,,,,,,,,,
,,Ben Couch,Manuera Benjamin Rīwai Couch,1925-06-27,3 June 1996,Bessie Couch,,,7,,,,,"34th Minister of Māori Affairs,Member of the New Zealand Parliamentfor Wairarapa,Rugby union career,Provincial / State sides,National team(s)"
"Peterhouse, Cambridge",,Ben Gummer,,1978-02-19,,,,,,,,,,"Minister for the Cabinet Office,Paymaster General,Parliamentary Under-Secretary of State for Health Services,Member of Parliamentfor Ipswich"
West Texas A&M University,,Ben Hugh Guill,,1909-09-08,"January 15, 1994",Marjorie Buckler,,,,,,"Educator,Businessman",,"Member of the U.S. House of Representativesfrom Texas's 18th district,Military service"
,,Ben Hodges,,1958-04-16,,,,,,,,,,
"University of Texas at Austin,University of Texas School of Law","B.A.,LL.M.,LL.B.",Ben Herbert Rice Jr.,Ben Herbert Rice Jr.,1889-12-12,"March 14, 1964",,,,,,,,,"Chief Judge of the United States District Court for the Western District of Texas,Judge of the United States District Court for the Western District of Texas"
"Trinity College, Cambridge,BA,MMath,PhD",,Ben Green,Ben Joseph Green,1977-02-27,,,,,,,,,,
"University of California, Los Angeles",BA,Ben Hueso,,1969-09-02,,Laura Campa,,,4,,,Small businessman,,"Member of the California State Senatefrom the 40th district,Member of the California State Assemblyfrom the 80th district79th district (2010–2012),Member of San Diego City Council representing the Eighth District"
"University of Durham,University of Cambridge",,Ben Howlett,,1986-08-21,,,,,,,,,,Member of Parliamentfor Bath
,,Ben Jones,Ben Lewis Jones,1941-08-30,,,,,,,,,,Member of the U.S. House of Representativesfrom Georgia's 4th district
"University of Florida,Fredric G. Levin College of Law","B.S.,J.D.",Ben Krentzman,Isaac Benjamin Krentzman Jr.,1914-03-21,"March 29, 1998",,,,,,,,,"Senior Judge of the United States District Court for the Middle District of Florida,Chief Judge of the United States District Court for the Middle District of Florida,Judge of the United States District Court for the Middle District of Florida"
,,Ben L. Parker,,"September 5, 1913","June 11, 2003",,,,,,,,,Member of the Pennsylvania House of Representativesfrom the 50th district
,,Ben F. Caldwell,,1848-08-02,"December 29, 1924",,,,,,,,,"Member of the U.S. House of Representativesfrom Illinois's 21st district,Member of the U.S. House of Representativesfrom Illinois's 17th district,Member of the Illinois House of Representatives,Member of the Illinois Senate"
,,Ben Mitchell Williamson,,1864-10-16,"June 23, 1941",,,,,,,,,United States Senatorfrom Kentucky
Radboud University Nijmegen,"PhD,MA,BA",Ben Knapen,Hubertus Petrus Maria Knapen,1951-01-06,,,,,,,,,,"Minister of Foreign Affairs,Leader of the Christian Democratic Appeal in the Senate,Senator of the Netherlands,State Secretary for Foreign Affairs"
,,Ben Macpherson,,1983 or 1984,,,,,,,,,,"Minister for Social Security and Local Government,Minister for Public Finance and Migration,Minister for Europe, Migration and International Development,Member of the Scottish Parliamentfor Edinburgh Northern and Leith"
,,Ben R. Miranda,,,,,,,,,,,,Member of the Arizona House of Representativesfrom the 16th district
,,Ben Meier,,"August 1, 1918","October 2, 1995",,,,,,,,,12th North Dakota Secretary of State
read law,,Ben Moore,Ben Moore,1891-01-01,"September 25, 1958",,,,,,,,,"Chief Judge of the United States District Court for the Southern District of West Virginia,Judge of the United States District Court for the Southern District of West Virginia"
"Bachelor of Arts,Australian National University,Australian National University",,Ben Morton,,1981-06-29,,Asta Morton (wife),,,2,,,"Bus driver, senior manager",,"Minister for the Public Service,Special Minister of State,Member of the Australian Parliamentfor Tangney"
"Duke University,Vanderbilt University","BA,JD",Ben Quayle,Benjamin Eugene Quayle,1976-11-05,,Tiffany Crane,"Dan Quayle,Marilyn Quayle",,2,,,"Attorney,Lobbyist",,Member of the U.S. House of Representativesfrom Arizona's 3rd district
"Purdue University,Harvard University",,Ben Roy Mottelson,,1926-07-09,13 May 2022,Nancy Jane Reno (1948–1975; 3 children),,,,,,,,
"Harvard University,Magdalen College, Oxford","BA,MS,MSt",Ben Sherwood,Benjamin Berkley Sherwood,1964-02-12,,Karen Kehela (m. 2003),,,2,,,"Author, journalist, entrepreneur",,
"Villanova University,Temple University","BS,JD",Ben Sanchez,Benjamin V. Sanchez,1975-03-11,,,,,,,,,,Member of the Pennsylvania House of Representativesfrom the 153rd district
,,,,"
",,,,,,,,,,
,,Ben Rosenthal,,1898-03-27,"March 24, 1953",Rebecca B. Mass,,,1,,,,,"Member of the California State Assemblyfrom the 52nd district,Military service"
Stanford University,,Ben Taskar,,"March 3, 1977","November 18, 2013",,,,,,,,,
"Sevenoaks School,Merton College, Oxford",,Ben Summerskill,,6 October 1961,,,,,,,,"Businessman,Equality campaigner,Journalist",,
"Christ's College, Cambridge,University of Warwick,University of London",,The Lord Stoneham of Droxford,,1948-08-26,,,,,,,,,,"Liberal Democrat Chief Whip in the House of Lords,Member of the House of LordsLord Temporal"
"Arizona State University, West",BA,Ben Toma,,,,,,,,,,,,"Majority Leader of the Arizona House of Representatives,Member of the Arizona House of Representativesfrom the 22nd district"
,,Ben T. Williams,,1910,"January 11, 1982",,,,,,,"Attorney, Judge",,
,,Ben Skall,,1919-02-11,"October 25, 1993",,,,,,,,,Member of the Ohio Senatefrom the 22nd district
,,Ben Stewart,,", ",,,,,,,,vintner,,"Member of the British Columbia Legislative Assemblyfor Kelowna West,Member of the British Columbia Legislative Assemblyfor Westside-Kelowna,Minister of Citizens' Services and Minister Responsible for Multiculturalism and the Public Affairs Bureau of British Columbia,Minister of Community and Rural Development of British Columbia,Minister of Agriculture of British Columbia,Minister of Citizens' Services and Open Government of British Columbia"
,,Ben W. Olcott,,1872-10-15,"July 21, 1952",Lena Olcott,,,,,,,,"16th Governor of Oregon,9th Secretary of State of Oregon"
"Millfield School,Royal Military Academy Sandhurst",,Ben Wallace,Robert Ben Lobban Wallace,1970-05-15,,Liza Cooke,,,3,,,,,"Secretary of State for Defence,Minister of State for Security and Economic Crime,Minister of State for Northern Ireland,Member of Parliament  for Wyre and Preston North.mw-parser-output .nobold{font-weight:normal}Lancaster and Wyre (2005–2010),Member of the Scottish Parliament  for North East Scotland(1 of 7 Regional MSPs),Military service"
,,Ben Tremain,,1888-02-25,January 1971,,,,,,,,,Member of the Wisconsin Assembly
Ghent University,,Ben Weyts,,1970-11-12,,,,,2,,,,,"Vice Minister-President of Flanders,Member of the Chamber of Representatives,Flemish ministerial roles"
Minot State University,,Ben Tollefsen,,1927-06-14,"December 16, 2021",Lila,,,four,,,,,"Member of the North Dakota Senatefrom the 38th district,Member of the North Dakota House of Representativesfrom the 38th district"
,,Ben Watson,Benjamin Luther Watson,1959-07-27,,,,,,,,Medical doctor,,"Member of the Georgia State Senatefrom the 1st district,Member of the Georgia House of Representativesfrom the 166th district,Member of the Georgia House of Representativesfrom the 163rd district"
,,Ben Zyskowicz,,1954-05-24,,,,,,,,politician,,Member of the Finnish Parliamentfor Helsinki
Delft University of Technology,,Ben van Beurden,Bernardus Cornelis Adriana Margriet van Beurden,1958-04-23,,Stacey van Beurden,,,4,,,,,
"Tufts University,BS",,Ben duPont,Benjamin Franklin du Pont,1964-01-14,,Laura Leigh duPont,,,2,,,Business executive,,
"Gonzaga University,Saint Louis University","BA,JD",Ben Ysursa,,1949-06-10,,,,,,,,,,Secretary of State of Idaho
,,Bendik Rugaas,Bendik Jørgen Rugaas,1942-12-31,,,,,,,,,,Minister of Administration and Planning
Oxford University,,Benedict Gross,,,,,,,,,,,,
University of Copenhagen,,Bendt Bendtsen,,1954-03-25,,Kirsten Bendtsen,,,1,,,,,"Member of the European Parliament,Deputy Prime Minister of Denmark and Minister of Business Affairs,Member of the Folketing"
Whitman College,,Ben Westlund,Bernard John Westlund II,1949-09-03,"March 7, 2010",Libby,,,,,,Rancher,,"27th Treasurer of Oregon,Member of the Oregon State Senatefrom the 27th district,Member of the Oregon House of Representativesfrom the 53rd district"
,,Benedict Leonard Calvert,,"September 20, 1700","June 1, 1732 (aged 31)",,"Benedict Calvert, 4th Baron Baltimore,Charlotte Lee, Lady Baltimore",,,,,"planter,politician",,4th Governor of Restored Proprietary Government
"Karolinska Institutet,Stockholms universitet",,Bengt Westerberg,Bengt Carl Gustaf Westerberg,1943-08-23,,,,,,,,,,"Deputy Prime Minister of Sweden,Minister for Social Affairs,Minister for Gender Equality,Leader of the Swedish Liberal People's Party,Member of the Swedish Parliamentfor Stockholms län"
,,Beniamino Segre,,1903-02-16,2 October 1977,,,,,,,,,
,,Beniamino Andreatta,,1928-08-11,26 March 2007,,,,,,,,,"Italian Minister of Defence,Minister of Foreign Affairs,Italian Minister of Treasury,Italian Minister of Budget"
,,Beni Prasad Verma,,1941-02-11,27 March 2020,Malti Devi,,,3 sons and 2 daughters,,,,,"Member Of ParliamentRajya Sabha[1],Minister of Steel,Member of Parliament  Lok Sabha,Member of Parliament  Lok Sabha"
"Georgetown University,Cleveland–Marshall College of Law","B.S.,J.D.",Benita Y. Pearson,,February 1963 (age 59),,,,,,,,,,"Judge of the United States District Court for the Northern District of Ohio,Magistrate Judge of the United States District Court for the Northern District of Ohio"
,,Benigno Zaccagnini,,17 April 1912,5 November 1989,,,,,,,,,"Italian Minister of Welfare,Italian Minister of Public Works"
University of Salzburg,,Benita Ferrero-Waldner,,1948-09-05,,Wolfgang Sterr ,,,,,,,,"European Commissioner for the European Neighbourhood Policy,European Commissioner for Trade,European Commissioner for External Relations,Minister of Foreign Affairs"
"New York University,Columbia University","BA,JD",Benito Romano,,1950 (age 71–72),,,,,5,,,Lawyer,,United States Attorney for the Southern District of New YorkInterim
"University of Pennsylvania,New York Law School","BS,LLB",Benjamin Gilman,Benjamin Arthur Gilman,1922-12-06,"December 17, 2016","Jane Prizant (divorced, 1954–1978; 5 children)",,,,,,,,"Chair of the House International Relations Committee,Member of the U.S. House of Representativesfrom New York,Member of the New York State Assembly from the 95th district"
Harvard University,,Benjamin A. Smith II,Benjamin Atwood Smith II,1916-03-26,"September 26, 1991",,,,Ben Smith (ice hockey coach),,,,,"United States Senatorfrom Massachusetts,Mayor of Gloucester, Massachusetts,Military service"
Brown University,,"Hon. Benjamin Adams, U.S. Congress",,1764-12-16,"March 28, 1837",,,,,,,,,"Member of the U.S. House of Representativesfrom Massachusetts's 11th district,Also a state legislator, State Senator, Lawyer, Politician"
,,Benjamin Allen,Benjamin Allen,1807-08-28,"July 5, 1873",Calista Dike,,,L. Jeannette (Day),,,,,"Member of the Wisconsin Senatefrom the 19th district,District Attorney of Pepin County,Military service"
,,Benjamin Altman,,1840-07-12,"October 7, 1913",,,,,,,,,
,,Benjamin Anderson,,"May 1, 1886","January 19, 1949",,,,,,,,,
"University of North Carolina,Emory University",,Benjamin B. Blackburn,Benjamin Bentley Blackburn,1927-02-14,,Mary A. Pandora Blackburn,,,4,,,Lawyer,,"Member of the U.S. House of Representativesfrom Georgia's 4th district,Military service"
,,Benjamin Baker Moeur,,1869-12-22,"March 16, 1937",,,,,,,,,4th Governor of Arizona
,,Benjamin Babock Thurston,,1804-06-29,"May 17, 1886",,,,,,,,,"Member of the U.S. House of Representativesfrom Rhode Island's 2nd district,Member of the Rhode Island House of Representatives"
"Bethany College,Columbia University",,Benjamin Barker Odell Jr.,,1854-01-14,"May 9, 1926",Estelle Crist (1877–88; her death),,,,,,,,"34th Governor of New York,Member of the U.S. House of Representativesfrom New York's 17th district"
"Eton College,Magdalen College, Oxford",,The Viscount Bledisloe,,2 October 1899,17 September 1979,Joan Krishaber,"Charles Bathurst, 1st Viscount Bledisloe",,2,,,,,Member of the House of LordsLord Temporal
"Centre College,Columbia University","BA,JD",Benjamin Beaton,,1981 (age 40–41),,,,,,,,,,Judge of the United States District Court for the Western District of Kentucky
,,Benjamin Brandreth,,23 June 1809,18 February 1880,,,,,,,,,
Washington and Jefferson College,BA,Benjamin Bristow,Benjamin Helm Bristow,1832-06-20,"June 22, 1896",,,,,,,,,"30th United States Secretary of the Treasury,1st Solicitor General of the United States,Military service"
Carnegie Mellon University,,Benjamin C. Pierce,,,,,,,,,,,,
Yale University,,Benjamin C. Stark,,1949-11-22,,,,,,,,,,
University of Iowa College of Law,,Benjamin C. Hilliard,,"January 9, 1868","August 7, 1951 (aged 83)",,,,,,,,,Member of the U.S. House of Representativesfrom Colorado's 1st district
Ohio University,,Benjamin Butterworth,,1837-10-22,"January 16, 1898",,,,,,,,,"Member of the U.S. House of Representativesfrom Ohio's 1st district,Member of the Ohio Senatefrom the second district"
Middle Temple,,Benjamin Chew,,1722-11-19,"January 20, 1810",Elizabeth Oswald,,,Peggy Chew Howard,,,"Lawyer, Judge, Chief Justice, High Court President",,
"Johns Hopkins University,University of Maryland, Baltimore","BA,LLB",Ben Civiletti,Benjamin Richard Civiletti,1935-07-17,,Gaile Lundgren,,,3,,,,,"73rd United States Attorney General,17th United States Deputy Attorney General,United States Assistant Attorney General for the Criminal Division"
,,Benjamin Brown French,,1800-09-04,"August 12, 1870",,,,,,,,,10th Clerk of the United States House of Representatives
Princeton College,,Benjamin Champneys,,1800-01-00,"August 9, 1871",Elizabeth Bachman,,,,,,"Judge,lawyer,legislator",,"Pennsylvania State Senator,Pennsylvania State Representative,Attorney General of Pennsylvania"
"Princeton University,Princeton Seminary",,Benjamin Breckinridge Warfield,,1851-11-05,"February 16, 1921",Annie Pierce Kinkead,William Warfield,,,,,,,4th Principal of Princeton Theological Seminary
,,Benjamin Douglas,,1816-04-03,"June 26, 1894",,,,,,,"Businessman, politician",,Lieutenant Governor of Connecticut
Dartmouth College,,Benjamin Dean,,1824-08-14,"April 9, 1897",,,,,,,,,"Member of the U.S. House of Representativesfrom Massachusetts's 3rd district,Member of the Massachusetts Senate"
University of Burgundy,,Benjamin Dirx,,1979-01-25,,,,,,,,,,Member of the National Assemblyfor Saône-et-Loire's 1st constituency
,,Benjamin Eggleston,,1816-01-03,"February 9, 1888",,,,,,,,,"Member of the U.S. House of Representativesfrom Ohio's 1st district,Member of the Ohio Senatefrom the 1st district"
Hamilton College,,Benjamin F. Adams,Benjamin Franklin Adams,1822-12-04,"February 6, 1902",Caroline M. Shephard,,,Henry Cullen Adams,,,,,Member of the Wisconsin State Assemblyfrom the Dane 1st district
,,Benjamin F. Deming,,1790-08-12,"July 11, 1834",Eunice Clark Deming,,,5,,,,,Member of the United States House of Representatives  from Vermont's 5th district
"University of Colorado Boulder,Harvard University","BA,MBA",Benjamin Bailar,,1934-04-21,"February 20, 2017",,,,,,,,,United States Postmaster General
"University of Edinburgh,University of Erlangen",,Benjamin Constant,Henri-Benjamin Constant de Rebecque,1767-10-25,8 December 1830,,,,,,,,,"Member of the Chamber of Deputies,Member of the Council of State,Member of the Tribunat"
University of Vermont,,Benjamin F. Fifield,,1832-11-18,"July 23, 1918","Lucy Hubbard (m. 1865-1899, her death)",,,3,,,,,"United States Attorney for the District of Vermont,Member of the Vermont House of Representatives from Montpelier,President of the Vermont Bar Association"
"Wayne State University,Detroit College of Law","BS,JD",Benjamin F. Gibson,,1931-07-13,"January 13, 2021",,,,,,,,,"Senior Judge of the United States District Court for the Western District of Michigan,Chief Judge of the United States District Court for the Western District of Michigan,Judge of the United States District Court for the Western District of Michigan"
Brown University,,Benjamin F. Hallett,,1797-12-02,"September 30, 1862",,,,,,,Attorney,,"United States Attorney for the District of Massachusetts,Chairman of the Democratic National Committee"
,,Benjamin F. Hopkins,Benjamin Franklin Hopkins,1829-04-22,"January 1, 1870",Ethalinda Lewis,Ervin Hopkins (father),,Arthur Frank Hopkins,,,,,"Member of the U.S. House of Representativesfrom Wisconsin's 2nd district,Member of the Wisconsin Senatefrom the 26th district,Member of the Wisconsin State Assemblyfrom the Dane 5th district"
,,Benjamin F. Harding,,1823-01-04,"June 16, 1899",Elizabeth Cox (d. 1868),,,,,,,,"United States Senatorfrom Oregon,Secretary of the Oregon Territory,2nd Speaker of the Oregon House of Representatives"
,,Benjamin Franklin Howell,,"January 27, 1844","February 1, 1933",,,,,,,,,Member of the U.S. House of Representativesfrom New Jersey's 3rd district
,,Benjamin F. James,,1885-08-01,"January 26, 1961",,,,,,,,,"Member of the U.S. House of Representativesfrom Pennsylvania's 7th district,Member of the Pennsylvania House of Representatives"
,,Benjamin F. Marsh,,1835-11-19,"June 2, 1905",,,,,,,,,"Member of the U.S. House of Representativesfrom Illinois's 14th district,Member of the U.S. House of Representativesfrom Illinois's 15th district,Member of the U.S. House of Representativesfrom Illinois's 11th district,Member of the U.S. House of Representativesfrom Illinois's 10th district"
,,Benjamin F. Funk,,1838-10-17,"February 14, 1909",,,,,,,,,Member of the U.S. House of Representativesfrom Illinois's 14th district
,,Benjamin F. Stapleton,Benjamin Franklin Stapleton,1869-11-12,"May 23, 1950",Mabel Freeland,,,"Lois Jane and Benjamin, Jr.",,,,,"33rd and 35th Mayor of Denver,Colorado State Auditor,Military service"
,,Benjamin F. Rice,Benjamin Franklin Rice,1828-05-26,"January 19, 1905",,,,,,,Lawyer,,"United States Senatorfrom Arkansas,Kentucky State Representative for Estill County"
,,Benjamin Perry,Benjamin Franklin Perry,1805-11-20,"December 3, 1886",,,,,,,,,"United States Senator-electfrom South Carolina,Governor of South Carolina"
,,Ben Wade,,1800-10-27,"March 2, 1878",Caroline Rosekrans Wade,,,,,,,,"President pro tempore of the United States Senate,United States Senatorfrom Ohio,Member of the Ohio Senate"
,,Benjamin F. White,,1838-12-03,"December 4, 1920",Elizabeth Davis,,,,,,,,"9th Governor of Montana Territory,6th Lieutenant Governor of Montana,Member of the Montana House of Representatives,Member of the Montana Senate"
Amherst College,,Benjamin Whittemore,,1824-05-18,"January 25, 1894",,,,,,,,,"Member of the U.S. House of Representativesfrom South Carolina's 1st district,Member of the South Carolina Senatefrom the Darlington County district,Military service"
,,Benjamin Tracy,Benjamin Franklin Tracy,1830-04-26,"August 6, 1915",,,,,,,,,"32nd United States Secretary of the Navy,United States Attorney for the Eastern District of New York,Member of the New York State Assemblyfrom the Tioga County district,Military service"
,,Benjamin Franklin Leiter,,1813-10-13,"June 17, 1866",Catherine Burger,,,seven,,,,,"Member of the U.S. House of Representativesfrom Ohio's 18th district,Member of the Ohio House of Representativesfrom the Stark County district,13th [[Mayor of Canton[1]]],15th [[Mayor of Canton[1]]]"
,,Benjamin F. Pankey,,1861-08-16,"June 1, 1929",,,,,,,,,"6th New Mexico Commissioner of Public Lands,3rd Lieutenant Governor of New Mexico"
