,name,full_name,born,died
18483,Hiland Hall,,"July 20, 1795","December 18, 1885 (aged 90)"
18486,Hilary A. Bush,,1905-06-21 00:00:00,"May 20, 1992"
18488,Hilary Herbert,Hilary Abner Herbert,1834-03-12 00:00:00,"March 6, 1919"
18492,Hilary Marquand,Hilary Adair Marquand,1901-12-24 00:00:00,6 November 1972
18495,Hilary J. Sandoval Jr.,,1930-01-29 00:00:00,"June 11, 1973"
18496,Hilary Putnam,Hilary Whitehall Putnam,1926-07-31 00:00:00,"March 13, 2016"
18497,Hilda Chamberlain,,16 May 1872,28 December 1967
18499,The Viscountess Runciman of Doxford,,1869-09-28 00:00:00,28 October 1956
18501,Hilde Körber,,1906-07-03 00:00:00,31 May 1969
18502,Dame Hilda Ross,Grace Hilda Cuthbertha Nixon,1883-07-06 00:00:00,6 March 1959
18505,Hilgard Muller,,1914-05-04 00:00:00,10 July 1985
18507,Hilla Limann,,1934-12-12 00:00:00,23 January 1998
18508,Hill McAlister,,1875-07-15 00:00:00,"October 30, 1959"
18511,Hilton Addison Wick,,"February 11, 1920","March 17, 2006"
18512,The Lord Kennet,,1879-03-20 00:00:00,11 July 1960
18513,Hines Holt,,1805-04-27 00:00:00,"November 4, 1865"
18514,Hiram B. Warner,,1802-10-29 00:00:00,"June 30, 1881"
18516,Hiram Barber Jr.,,1835-03-24 00:00:00,"August 5, 1924"
18518,Hiram Denio,,1799-05-21 00:00:00,"November 5, 1871"
18519,Hiram Bingham,,1875-11-19 00:00:00,"June 6, 1956"
18520,Hiram Bell,,1808-04-22 00:00:00,"December 21, 1855"
18521,Hiram Bingham IV,,"July 17, 1903","January 12, 1988 (aged 84)"
18522,Hiram Blanchard,,1820-01-17 00:00:00,"December 17, 1874"
18523,Hiram H. Giles,Hiram Horatio Giles,1820-03-22 00:00:00,"May 10, 1895"
18524,Hiram Hamilton Ward,Hiram Hamilton Ward,1923-04-29 00:00:00,"April 4, 2002"
18525,Hiram Johnson,Hiram Warren Johnson,1866-09-02 00:00:00,"August 6, 1945"
18526,Hiram Church Ford,Hiram Church Ford,1884-07-28 00:00:00,"June 8, 1969"
18527,Hiram G. Andrews,,1876-09-12 00:00:00,March 1968 (aged 91)
18528,Hiram Emory Widener Jr.,Hiram Emory Widener Jr.,1923-04-20 00:00:00,"September 19, 2007"
18529,Hiram Fong,Yau Leong Fong,1906-10-15 00:00:00,"August 18, 2004"
18530,Hiram Hunter,,10 February 1874,9 May 1966
18531,Hiram Gill,,1866-08-23 00:00:00,"January 7, 1919"
18533,Hiram Wakefield,Hiram Wakefield,1837-05-07 00:00:00,25 June 1905
18534,Hiram O. Kerns,Hiram Oscar Kerns,1853-12-14 00:00:00,"June 27, 1931"
18535,Hiram Rafael Cancio,Hiram Rafael Cancio Vilella,1920-08-26 00:00:00,"December 16, 2008"
18537,Hiram V. Willson,Hiram V. Willson,April 1808,"November 11, 1866"
18538,Hiram Revels,Hiram Rhodes Revels,1827-09-27 00:00:00,"January 16, 1901"
18539,Hiroshi Nakajima,,1928-05-16 00:00:00,"January 26, 2013"
18540,Hiram Willey,,1818-05-23 00:00:00,"March 8, 1910"
18542,Hjalmar Petersen,,1890-01-02 00:00:00,"March 29, 1968"
18543,Ho Yin,,1908-12-01 00:00:00,"December 6, 1983"
18544,Hobart Baldwin Bigelow,,"May 16, 1834","October 12, 1891 (aged 57)"
18546,Hokishe Sema,,6 March 1921,31 January 2007
18548,Hoffman Philip,Herman Hoffman Philip,1872-07-13 00:00:00,"October 31, 1951"
18549,Holger Börner,,1931-02-07 00:00:00,2 August 2006
18554,Hollister Jackson,Samuel Hollister Jackson,1875-12-07 00:00:00,"November 2, 1927"
18563,Homer E. Capehart,Homer Earl Capehart,"June 6, 1897",", Indiana"
18565,Homer Casteel,,1879-04-14 00:00:00,"December 11, 1958"
18566,Homer Angell,,"January 12, 1875","March 31, 1968 (aged 93)"
18567,Homer E. Capehart,Homer Earl Capehart,"June 6, 1897",", Indiana"
18568,Homer Elihu Royce,,1819-06-14 00:00:00,"April 24, 1891"
18569,Homer Bedford,,1880-03-16 00:00:00,"March 26, 1968"
18570,Homer L. Pearson,,1900-12-31 00:00:00,"June 9, 1985"
18571,Homer R. Jones,Homer Raymond Jones,1893-09-03 00:00:00,"November 26, 1970"
18572,Homer Ferguson,Homer Samuel Ferguson,1889-02-25 00:00:00,", U.S."
18573,Holm O. Bursum,Holm Olaf Bursum,1867-02-10 00:00:00,"August 7, 1953"
18574,Homer Elihu Royce,,1819-06-14 00:00:00,"April 24, 1891"
18575,Homer Martin Adkins,,1890-10-15 00:00:00,"February 26, 1964"
18576,Homer A. Holt,,1898-03-01 00:00:00,"January 16, 1975"
18577,Homer Roberts Spence,,1891-03-15 00:00:00,"July 1, 1973"
18578,Homer Cummings,Homer Stille Cummings,1870-04-30 00:00:00,"September 10, 1956"
18580,Homer W. Hall,,1870-07-22 00:00:00,"September 22, 1954"
18582,Hong Gi,,1916-03-03 00:00:00,"July 20, 2004"
18584,Honoré Beaugrand,,24 March 1848,7 October 1906
18585,Homer Thornberry,William Homer Thornberry,1909-01-09 00:00:00,"December 12, 1995"
18588,Hopkins Lacy Turney,,1797-10-03 00:00:00,"August 1, 1857"
18589,Hopkins Holsey,,1779-08-25 00:00:00,"March 31, 1859"
18591,Horace A. Tenney,,1820-02-22 00:00:00,"March 13, 1906"
18592,Horace Austin,,1831-10-15 00:00:00,"November 2, 1905"
18594,Horace Byatt,,22 March 1875,8 April 1933
18595,Horace B. Strait,Horace Burton Strait,1835-01-26 00:00:00,"February 25, 1894"
18596,Horace Chase,,1810-12-25 00:00:00,"September 1, 1886"
18597,Horace Boies,,"December 7, 1827","April 4, 1923"
18598,Horace Binney Sargent,,1821-06-26 00:00:00,"January 8, 1908"
18599,Horace Binney,,1780-01-04 00:00:00,"August 12, 1875"
18600,Horace Davis,,1831-03-16 00:00:00,"July 12, 1916"
18601,Horace E. Houghton,,1835-04-06 00:00:00,"August 25, 1897"
18602,Horace Chilton,,1853-12-29 00:00:00,"June 12, 1932"
18603,Horace Everett,,1779-07-17 00:00:00,"January 30, 1851"
18604,Horace F. Clark,,1815-11-29 00:00:00,"June 19, 1873"
18605,Horace F. Graham,,1862-02-07 00:00:00,"November 23, 1941"
18606,Horace Elgin Dodge,,1868-05-17 00:00:00,"December 10, 1920"
18607,Horace Eaton,,1804-06-22 00:00:00,"July 4, 1855"
18608,Horace Francis Page,Horace Francis Page,1833-10-20 00:00:00,"August 23, 1890"
18609,Horace Fairbanks,,1820-03-21 00:00:00,"March 17, 1888"
18610,Horace Dutton Taft,,1861-12-28 00:00:00,"January 28, 1943"
18611,Horace G. Knowles,,1863-10-20 00:00:00,"November 2, 1937"
18612,Horace G. Snover,,1847-09-21 00:00:00,"July 21, 1924"
18613,Horace Harmon Lurton,Horace Harmon Lurton,1844-02-26 00:00:00,"July 12, 1914"
18614,Horace F. Bartine,,1848-03-21 00:00:00,"August 27, 1918"
18615,Horace Greeley,,1811-02-03 00:00:00,"November 29, 1872"
18616,Horace Griggs Prall,,1881-03-06 00:00:00,"April 23, 1951"
18617,The Lord Maybray-King,,25 May 1901,3 September 1986
18618,H. Henry Powers,,1835-05-29 00:00:00,"December 8, 1913"
18619,Horace Ladd Moore,,1837-02-25 00:00:00,"May 1, 1914"
18620,Horace Harrison Harrison,,1829-08-07 00:00:00,"December 20, 1885"
18621,Horace Hildreth,Horace Augustus Hildreth,1902-12-02 00:00:00,"June 2, 1988"
18622,Horace Newton Allen,,1858-04-23 00:00:00,"December 11, 1932"
18623,Horace Mann Towner,,1855-10-23 00:00:00,"November 23, 1937"
18624,Horace Mann,,1796-05-04 00:00:00,"August 2, 1859"
18625,Horace O. Crane,,1808,"June 4, 1872"
18626,Horace Maynard,,1814-08-30 00:00:00,"May 3, 1882"
18627,Horace Ladd Moore,,1837-02-25 00:00:00,"May 1, 1914"
18628,Horace Porter,,1837-04-15 00:00:00,"May 29, 1921"
18629,Horace R. Kornegay,,1924-03-12 00:00:00,"January 21, 2009"
18630,Horace Rublee,,"August 19, 1829","October 19, 1896"
18631,Horace Seely-Brown Jr.,,"May 12, 1908","April 9, 1982"
18632,Horace Sholl,,1851-04-08 00:00:00,8 November 1927
18633,Horace T. Cahill,,1894-12-12 00:00:00,"August 22, 1976"
18634,Horace Stansel,Horace Sylvan Stansel,1888-11-05 00:00:00,"April 4, 1936"
18635,Horace Stern,,1878-08-07 00:00:00,"April 15, 1969 (aged 90)"
18636,Horace Gray,,1828-03-24 00:00:00,", U.S."
18637,Horace W. Bozarth,,1894-07-29 00:00:00,"June 2, 1976"
18638,Horace W. Bailey,,1852-01-16 00:00:00,"January 6, 1914"
18639,Horace Worth Vaughan,,1867-12-02 00:00:00,"November 10, 1922"
18640,Horace Ward,Horace Taliaferro Ward,1927-07-29 00:00:00,"April 23, 2016"
18641,Horace W. Wilkie,,1917-01-09 00:00:00,"May 23, 1976"
18642,Sir Horace Tozer,Horace Tozer,1844-04-23 00:00:00,20 August 1916
18643,Horace White,,1865-10-07 00:00:00,"November 27, 1943"
18644,Horace Worth Vaughan,,1867-12-02 00:00:00,"November 10, 1922"
18645,Horatio C. Burchard,,1825-09-22 00:00:00,"May 14, 1908"
18646,Horatio Clifford Claypool,,1859-02-09 00:00:00,"January 19, 1921"
18647,Horatio Clarence Hocken,,1857-10-12 00:00:00,"February 18, 1937"
18648,The Earl of Orford,Horatio Walpole,1717-09-24 00:00:00,2 March 1797
18649,Horacio Rivero Jr.,,1910-05-16 00:00:00,"September 24, 2000"
18650,Horatio G. Knight,,1818-03-24 00:00:00,"October 16, 1895"
18651,Horace Webster,,"September 21, 1794","July 12, 1871"
18652,Horace Weldon Gilmore,Horace Weldon Gilmore,1918-04-04 00:00:00,"January 25, 2010"
18653,Horatio N. Smith,,1820-03-20 00:00:00,"August 5, 1886"
18654,Horatio King,,1811-06-21 00:00:00,"May 20, 1897"
18655,Horatio Seymour,,1778-05-31 00:00:00,"November 21, 1857"
18656,Horatio Wells,,1808-11-04 00:00:00,"August 8, 1858"
18657,Horrie Garrick,,1918-08-26 00:00:00,6 April 1982
18658,Horst Sindermann,,1915-09-05 00:00:00,20 April 1990
18659,Hosea Washington Parker,,"May 30, 1833","August 21, 1922"
18660,Hosne Ara Rahman,,c. 1934,17 June 2017
18664,Horst Ehmke,Horst Paul August Ehmke,1927-02-04 00:00:00,12 March 2017
18665,Houari Boumédiène,Mohamed Ben Brahim Boukherouba,1932-08-23 00:00:00,27 December 1978
18667,Houari Boumédiène,Mohamed Ben Brahim Boukherouba,1932-08-23 00:00:00,27 December 1978
18668,Houston I. Flournoy,Houston Irving Flournoy,1929-10-07 00:00:00,"January 7, 2008"
18669,Hosni Mubarak,Muhammad Hosni El Sayed Mubarak,1928-05-04 00:00:00,25 February 2020
18670,Hovah Hall Underwood,,1919-04-12 00:00:00,"September 24, 2004"
18673,Hovah Hall Underwood,,1919-04-12 00:00:00,"September 24, 2004"
18674,Howard Baker,Howard Henry Baker Jr.,1925-11-15 00:00:00,"June 26, 2014"
18675,Howard Boyd Turrentine,Howard Boyd Turrentine,1914-01-22 00:00:00,"August 20, 2010"
18678,Howard Bruner Schaffer,,1929-07-21 00:00:00,"November 17, 2017"
18679,Sir Howard Beale,,1898-12-10 00:00:00,17 October 1983
18680,Howard C. Nielson,Howard Curtis Nielson,1924-09-12 00:00:00,"May 20, 2020"
18681,Howard C. Bratton,Howard Calvin Bratton,1922-02-04 00:00:00,"May 5, 2002"
18682,Howard C. Belton,,"January 2, 1893","November 21, 1988"
18683,Howard C. Ryan,,1916-06-17 00:00:00,"December 10, 2008"
18685,Howard Buffett,Howard Horman Buffett,1903-08-13 00:00:00,"April 30, 1964"
18686,Howard Hearnes Carwile,,1911-11-14 00:00:00,"June 6, 1987"
18687,Howard Cannon,Howard Walter Cannon,1912-01-26 00:00:00,"March 5, 2002"
18688,Howard C. Speakman,Howard C. Speakman,1892-05-25 00:00:00,"June 17, 1952"
18689,Howard Clark Hollister,Howard Clark Hollister,1856-09-11 00:00:00,"September 24, 1919"
18690,Howard Dwayne Graves,,1939-08-15 00:00:00,"September 13, 2003"
18691,Howard Clifton Brown,,1868-04-03 00:00:00,11 September 1946
18693,Howard David Hermansdorfer,Howard David Hermansdorfer,1931-04-11 00:00:00,"November 17, 2003"
18695,Howard Elliott Faught,,1907-08-01 00:00:00,"May 8, 1955"
18697,Howard Coble,John Howard Coble,1931-03-18 00:00:00,"November 3, 2015"
18698,Howard Edmond Campbell,,1890-01-04 00:00:00,"January 6, 1971"
18702,Howard Francis Corcoran,Howard Francis Corcoran,1906-01-25 00:00:00,"May 11, 1989"
18703,George Howard Ferguson,,1870-06-18 00:00:00,"February 21, 1946"
18704,The Lord Florey,Howard Walter Florey,24 September 1898,21 February 1968
18708,Bo Callaway,Howard Hollis Callaway,1927-04-02 00:00:00,"March 15, 2014"
18709,Howard Gould,,1871-06-08 00:00:00,"September 13, 1959"
18711,Howard J. Whitmore Jr.,,"May 9, 1905","June 19, 1998 (aged 93)"
18712,Howard J. McMurray,,1901-03-03 00:00:00,"August 14, 1961"
18713,Howard Johnson,Howard Sydney Johnson,1910-12-25 00:00:00,13 September 2000
18715,Howard J. Samuels,Howard Joseph Samuels,1919-12-03 00:00:00,"October 26, 1984"
18717,Howard J. Thelin,,1921-02-07 00:00:00,"March 25, 2011"
18718,Howard Burnett,Howard Jerome Burnett,1929-10-14 00:00:00,"June 16, 2019"
18720,Howard K. Smith,Howard Kingsbury Smith,1914-05-12 00:00:00,"February 15, 2002"
18721,Howard Hawks,Howard Winchester Hawks,1896-05-30 00:00:00,"December 26, 1977"
18724,Howard Landis Bevis,,1885-11-19 00:00:00,"April 25, 1968"
18725,Howard Keel,Harold Clifford Keel,1919-04-13 00:00:00,"November 7, 2004"
18727,Howard M. Snapp,,1855-09-27 00:00:00,"August 14, 1938"
18729,Howard M. Baldrige,Howard Malcolm Baldrige,1894-06-23 00:00:00,"January 19, 1985"
18732,Howard Nugent,,1879-08-22 00:00:00,"May 29, 1952"
18733,Howard Olson,,1937-08-25 00:00:00,"November 23, 1996"
18734,Howard P. Anderson,Howard Palmer Anderson,1915-05-25 00:00:00,"November 1, 2000"
18735,Howard Richmond,,30 March 1878,12 January 1974
18736,Howard P. Robertson,,1903-01-27 00:00:00,"August 26, 1961"
18737,Howard Russell Butler,,"March 3, 1856","May 20, 1934"
18738,,,12 March 1896,13 June 1975
18739,Howard Metzenbaum,Howard Morton Metzenbaum,1917-06-04 00:00:00,"March 12, 2008"
18741,Howard S. Bargreen,Howard Samuel Bargreen,1906-07-06 00:00:00,"December 18, 1987"
18743,Howard Swearer,,1932-03-13 00:00:00,"October 19, 1991"
18744,Howard Sutherland,,1865-09-08 00:00:00,"March 12, 1950"
18746,Howard Markey,Howard Thomas Markey,1920-11-10 00:00:00,"May 3, 2006"
18747,Howard W. Robison,,1915-10-30 00:00:00,"September 26, 1987"
18748,Howard W. Jackson,Howard Wilkinson Jackson,1877-08-04 00:00:00,"August 31, 1960"
18749,Howard W. Smith,Howard Worth Smith,1883-02-02 00:00:00,"October 3, 1976"
18750,Howard W. Davis,,1885-11-13 00:00:00,"December 13, 1959"
18753,William Howard Taft,,1857-09-15 00:00:00,"March 8, 1930"
18754,Howard Pollock,Howard Wallace Pollock,1920-04-11 00:00:00,"January 9, 2011"
18755,Howell Appling Jr.,,"September 5, 1919","October 16, 2002"
18756,Howell Cobb,,1815-09-07 00:00:00,"October 9, 1868"
18757,Howell Appling Jr.,,"September 5, 1919","October 16, 2002"
18758,Howell Edmunds Jackson,Howell Edmunds Jackson,1832-04-08 00:00:00,"August 8, 1895"
18759,Howell Cobb,,1772-08-03 00:00:00,"May 26, 1818"
18760,Howell Cobb,Howell Cobb,1922-12-07 00:00:00,", "
18761,Howell Edmunds Jackson,Howell Edmunds Jackson,1832-04-08 00:00:00,"August 8, 1895"
18762,Howland H. Sargeant,Howland Hill Sargeant,1911-07-13 00:00:00,"February 29, 1984"
18764,Howell Heflin,Howell Thomas Heflin,1921-06-19 00:00:00,"March 29, 2005"
18765,Hoyt Henry Wheeler,Hoyt Henry Wheeler,1833-08-30 00:00:00,"November 19, 1906"
18766,Howell W. Melton,Howell Webster Melton,1923-12-15 00:00:00,"December 18, 2015"
18767,Hoyt Patrick Taylor,,1890-06-11 00:00:00,"April 12, 1964"
18768,Hoyt Patrick Taylor Jr.,,1924-04-01 00:00:00,"April 22, 2018"
18769,Hu Harries,,1921-12-08 00:00:00,"August 26, 1986"
18771,Hoyt Henry Wheeler,Hoyt Henry Wheeler,1833-08-30 00:00:00,"November 19, 1906"
18773,Hubert Beaumont,,1883,2 December 1948
18774,Sir Hubert Ashton,Hubert Ashton,1898-02-13 00:00:00,17 June 1979
18775,Huang Hua,Wang Rumei,1913-01-25 00:00:00,"November 24, 2010"
18776,Hubert B. Scudder,,1888-11-05 00:00:00,"July 4, 1968"
18777,Hubert Curien,,1924-10-30 00:00:00,6 February 2005
18778,Hubert Durrett Stephens,,1875-07-02 00:00:00,"March 14, 1946"
18780,Hubert H. Bryant,,1931-01-04 00:00:00,"December 25, 2016"
18781,Hubert B. Scudder,,1888-11-05 00:00:00,"July 4, 1968"
18782,Hubert H. Peavey,,1881-01-12 00:00:00,"November 21, 1937"
18784,Hubert Huddleston,,1880-01-20 00:00:00,2 October 1950
18785,Hubert Harrison,Hubert Henry Harrison,1883-04-27 00:00:00,"December 17, 1927"
18786,Hubert Irving Teitelbaum,Hubert Irving Teitelbaum,1915-07-02 00:00:00,"January 5, 1995"
18787,Hubert Kitchen,,1928-09-16 00:00:00,"July 18, 2020"
18788,Hubert Jerningham,,1842-10-18 00:00:00,3 April 1914
18789,Larry Anthony,,1897-03-12 00:00:00,12 July 1957
18790,,,1904-05-29 00:00:00,18 April 1996
18791,Hubert Utterback,,1880-06-28 00:00:00,"May 12, 1942"
18792,The Lord Parker of Wadington,Hubert Lister Parker,1900-05-28 00:00:00,15 September 1972
18793,Hubert Humphrey,Hubert Horatio Humphrey Jr.,1911-05-27 00:00:00,"January 13, 1978"
18794,Hubert S. Ellis,,1887-06-06 00:00:00,"December 3, 1959"
18795,The Viscount Devonport,Hudson Ewbanke Kearley,1856-09-01 00:00:00,5 September 1934
18796,Hubertus van Mook,Hubertus Johannes van Mook,1894-05-30 00:00:00,10 May 1965
18797,Hubert Work,,1860-07-03 00:00:00,", "
18798,Heusted Warner Reynolds Hoyt,,1842-11-01 00:00:00,"April 8, 1894"
18800,Hugh Alfred Butler,,1878-02-28 00:00:00,"July 1, 1954"
18801,Huey P. Newton,Huey Percy Newton,1942-02-17 00:00:00,"August 22, 1989"
18802,Hugh Anderson Dinsmore,,"December 24, 1850","May 2, 1930"
18803,Hugh A. Garland,,"June 1, 1805","October 14, 1854 (aged 49)"
18804,Hugh Dunn,Hugh Alexander Dunn,1923-08-20 00:00:00,5 November 2005
18805,Hugh A. Haralson,Hugh A. Haralson,1805-11-13 00:00:00,"September 25, 1854"
18807,Hugh Auchincloss Steers,,1962-06-12 00:00:00,"March 1, 1995"
18809,Sir Hugh Beadle,Thomas Hugh William Beadle,1905-02-06 00:00:00,14 December 1980
18811,Hugh Cairns,,26 June 1896,18 July 1952
18813,Hugh Caperton,,"April 17, 1781","February 9, 1847"
18814,The Earl Cairns,,1819-12-27 00:00:00,2 April 1885
18815,The Lord Delamere,,3 October 1811,1 August 1887
18816,Hugh Carter,Hugh Alton Carter,1920-08-13 00:00:00,"June 24, 1999"
18817,Hugh Carey,Hugh Leo Carey,1919-04-11 00:00:00,"August 7, 2011"
18818,The Lord Delamere,Hon. Hugh Cholmondeley,1870-04-28 00:00:00,12 November 1931
18819,Hugh Childers,,25 June 1827,29 January 1896
18820,The Lord Quickswood,Hugh Richard Heathcote Gascoyne-Cecil,14 October 1869,10 December 1956 (aged 87)
18821,Hugh Comer,Hugh Moss Comer,1842,"February 26, 1900 (aged 58)"
18822,The Marquess of Cholmondeley,George Hugh Cholmondeley,1919-04-24 00:00:00,13 March 1990
18823,Hugh Coveney,,1935-07-20 00:00:00,14 March 1998
18826,Hugh D. Auchincloss,Hugh Dudley Auchincloss Jr.,1897-08-29 00:00:00,"November 20, 1976"
18827,The Lord Dalton,,1887-08-26 00:00:00,13 February 1962
18828,Hugh D. Auchincloss,Hugh Dudley Auchincloss,1858-07-08 00:00:00,"April 21, 1913"
18829,Hugh De Lacy,Emerson Hugh De Lacy,1910-05-09 00:00:00,"August 19, 1986"
18830,Hugh Macrossan,Hugh Denis Macrossan,1881-02-20 00:00:00,23 June 1940
18831,H. Douglas Barclay,,1932-07-05 00:00:00,"March 14, 2021"
18832,Hugh Dorsey,Hugh Manson Dorsey,1871-07-10 00:00:00,"June 11, 1948"
18834,Hugh Fate,Hugh Berry Fate,1929-12-04 00:00:00,"February 25, 2021"
18835,The Duke of Grafton,Hugh Denis Charles FitzRoy,3 April 1919,7 April 2011
18836,The Earl Fortescue,,1783-02-13 00:00:00,14 September 1861
18837,The Earl Fortescue,Hugh William Fortescue,1888-06-14 00:00:00,14 June 1958
18839,Hugh Franklin Waters,Hugh Franklin Waters,1932-07-20 00:00:00,"April 16, 2002"
18840,Sir Hugh Fraser,Hugh Charles Patrick Joseph Fraser,1918-01-23 00:00:00,6 March 1984
18841,Hugh G. Harrison,,1822-04-23 00:00:00,"August 12, 1891"
18842,Hugh M. Gillis,Hugh Marion Gillis,1918-09-06 00:00:00,"January 1, 2013"
18843,Hugh Gallen,,1924-07-30 00:00:00,"December 29, 1982"
18844,Hugh G. Grant,,1888-09-02 00:00:00,August 1972
18845,Hugh Gregg,,"November 22, 1917","September 24, 2003"
18846,Hugh Gaitskell,Hugh Todd Naylor Gaitskell,1906-04-09 00:00:00,18 January 1963
18847,The Duke of Westminster,,1825-10-13 00:00:00,22 December 1899
18848,Hugh Henry Bownes,Hugh Henry Bownes,1920-02-28 00:00:00,"November 5, 2003"
18850,Hugh H. Price,,1859-12-02 00:00:00,"December 25, 1904"
18851,Hugh Guthrie,,1866-08-13 00:00:00,"November 3, 1939"
18852,Hugh Hornby Birley,,1778-03-10 00:00:00,31 July 1845
18853,Hugh Holmes,,1768-11-08 00:00:00,"January 19, 1825"
18854,Hugh H. Smythe,Hugh Heyne Smythe,1913-08-19 00:00:00,"June 22, 1977"
18856,The Lord Jenkins of Putney,Hugh Gater Jenkins,1908-07-27 00:00:00,26 January 2004
18857,Hugh J. Grant,,1858-09-10 00:00:00,"November 4, 1910"
18858,Hugh John Flemming,,1899-01-05 00:00:00,"October 16, 1982"
18860,Hugh John Macdonald,,1850-03-13 00:00:00,"March 29, 1929"
18861,Hugh Judge Jewett,,1817-07-01 00:00:00,"March 6, 1898"
18862,Hugh White,Hugh Lawson White,1881-08-19 00:00:00,"September 20, 1965"
18863,Hugh Leatherman,,1931-04-14 00:00:00,"November 12, 2021"
18864,Hugh Llewellyn Nichols,,1865-03-25 00:00:00,"December 29, 1942"
18865,Hugh Judson Kilpatrick,,1836-01-14 00:00:00,"December 4, 1881"
18867,Hugh White,Hugh Lawson White,1773-10-30 00:00:00,"April 10, 1840"
18868,Hugh Lawson White Hill,,1810-03-01 00:00:00,"January 18, 1892"
18869,Hugh Dorsey,Hugh Manson Dorsey,1871-07-10 00:00:00,"June 11, 1948"
18871,Hugh M. Morris,Hugh Martin Morris,1878-04-09 00:00:00,"March 19, 1966"
18872,The Lord Reay,Hugh William Mackay,1937-07-19 00:00:00,10 May 2013
18873,Hugh M. Rigney,,1873-07-31 00:00:00,"October 12, 1950"
18874,Hugh Leatherman,,1931-04-14 00:00:00,"November 12, 2021"
18875,Hugh Mahon,,1857-01-06 00:00:00,28 August 1931
18876,Hugh Maxwell,,1787,"March 31, 1873"
18877,Hugh McDonald,,1827-05-04 00:00:00,"February 28, 1899"
18878,Hugh McMinn,Hugh Cameron McMinn,1865,2 December 1941 (aged 76)
18879,Hugh McCulloch,,1808-12-07 00:00:00,"May 24, 1895"
18880,Hugh McFarlane,,1815-06-23 00:00:00,"August 16, 1882"
18881,Hugh Burnton Mitchell,,1907-03-22 00:00:00,"June 10, 1996"
18882,Hugh McVay,,1766-04-29 00:00:00,"May 9, 1851"
18883,Sir Hugh Nelson,,1833-12-31 00:00:00,1 January 1906
18884,Hugh Murray-Aynsley,,8 October 1828,22 February 1917
18885,The Lord Molson,Arthur Hugh Elsdale Molson,1903-06-29 00:00:00,13 October 1991
18886,Hugh Mosman,Hugh Mosman,1843-02-11 00:00:00,15 November 1909
18887,Hugh Murray,,1825-04-22 00:00:00,"September 18, 1857"
18888,Hugh Nelson,Hugh Nelson,1768-09-30 00:00:00,"March 18, 1836"
18889,Hugh Nelson,Hugh Nelson,1768-09-30 00:00:00,"March 18, 1836"
18890,Hugh Lygon,Hugh Patrick Lygon,1904-11-02 00:00:00,"August 19, 1936"
18891,Sir Hugh Nelson,,1833-12-31 00:00:00,1 January 1906
18893,H. O. Arnold-Forster,,1855-08-19 00:00:00,12 March 1909
18894,Hugh O'Brien,,1827-07-13 00:00:00,"August 1, 1895"
18895,The Duke of Northumberland,,c. 1714,11 February 1786 (aged 71–72)
18896,The Duke of Northumberland,Hugh Algernon Percy,1914-04-06 00:00:00,11 October 1988
18898,Hugh Percy,,1784-01-29 00:00:00,5 February 1856
18899,The Duke of Northumberland,Hugh Smithson,1742-08-14 00:00:00,10 July 1817
18900,Fabian Hugh Poulin,,1931-02-09 00:00:00,12 October 2018
18901,Hugh R. Belknap,,1860-09-01 00:00:00,"November 12, 1901"
18902,The Duke of Northumberland,,1785-04-20 00:00:00,11 February 1847
18903,Hugh Rodham,Hugh Ellsworth Rodham,1911-04-02 00:00:00,"April 7, 1993"
18904,Hugh R. Wilson,Hugh Robert Wilson,1885-01-29 00:00:00,"December 29, 1946"
18906,Hugh Legaré,Hugh Swinton Legaré,1797-01-02 00:00:00,"June 20, 1843"
18907,Hugh S. Jenkins,,"March 9, 1903","June 18, 1976"
18908,Hugh Rossi,Hugh Alexis Louis Rossi,1927-06-21 00:00:00,14 April 2020
18909,Hugh Lawson Shearer,,1923-05-18 00:00:00,15 July 2004
18910,Hugh S. Gibson,Hugh Simons Gibson,1883-08-16 00:00:00,"December 12, 1954"
18912,Hugh Scott,,1900-11-11 00:00:00,"July 21, 1994"
18913,Hugh Sinclair,,1864-06-06 00:00:00,3 August 1926
18914,Hugh Stretton,,1924-07-15 00:00:00,18 July 2015
18915,The Lord Sherwood,,1898-10-02 00:00:00,1 April 1970
18916,Hugh Smith Thompson,,1836-01-24 00:00:00,"November 20, 1904"
18918,Hugh Waddell,,", ",9 April 1773 (aged 38–39)
18919,Hugh White Sheffey,,1815-04-12 00:00:00,8 April 1889
18920,Hugh Wade,,1901-06-29 00:00:00,"March 25, 1995"
18921,Hugo Charteris,Hugo Francis Guy Charteris,1922-12-11 00:00:00,20 December 1970
18922,Hugo Black,Hugo Lafayette Black,1886-02-27 00:00:00,", U.S."
18923,Hugh Williamson,,1735-12-05 00:00:00,"May 22, 1819"
18924,The Earl of Wemyss and March,Hugo Richard Charteris,1857-08-25 00:00:00,12 July 1937
18926,Hugh Watt,,1912-03-19 00:00:00,4 February 1980
18928,Hugo Haase,,1863-09-29 00:00:00,7 November 1919
18930,Hugo Judd,Neville Hugo Sale Judd,1939-12-27 00:00:00,2 May 2017
18931,Hugo Stenbeck,Edvard Hugo Stenbeck,1890-10-15 00:00:00,6 January 1977
18932,Hugo Chávez,Hugo Rafael Chávez Frías,1954-07-28 00:00:00,5 March 2013
18933,Hugo Scheltema,,11 June 1918,1 September 1996 (aged 78)
18934,Hugo Sheridan Sims Jr.,,1921-10-14 00:00:00,"July 9, 2004"
